Date,Change in OI,Close,Expiry,High,Last,Low,Number of Contracts,Open,Open Interest,Settle Price,Symbol,Turnover,Underlying,Volume,expiry
2009-01-19,,2846.2,,2868.2,,2819.9,,2828.7,,,,45315000000.0,,328336119.0,2009-02-26
2009-01-20,,2796.6,,2842.9,,2758.0,,2842.9,,,,46007900000.0,,233289325.0,2009-02-26
2009-01-21,,2706.15,,2787.3,,2690.2,,2777.4,,,,52540600000.00001,,220067231.0,2009-02-26
2009-01-22,,2713.8,,2744.85,,2681.4,,2714.7,,,,53195200000.00001,,229581189.0,2009-02-26
2009-01-23,,2678.55,,2765.55,,2661.65,,2705.45,,,,50908800000.0,,211289358.0,2009-02-26
2009-01-27,,2771.35,,2777.3,,2685.25,,2686.05,,,,52079500000.0,,220453539.0,2009-02-26
2009-01-28,,2849.5,,2855.4,,2765.6,,2771.1,,,,55615900000.0,,280820341.0,2009-02-26
2009-01-29,,2823.95,,2873.85,,2795.35,,2849.35,,,,71892700000.0,,347987447.0,2009-02-26
2009-01-30,,2874.8,,2881.0,,2774.1,,2824.05,,,,62006600000.0,,295045380.0,2009-02-26
2009-02-02,,2766.65,,2873.45,,2760.7,,2872.35,,,,51516700000.0,,235281717.0,2009-02-26
2009-02-03,,2783.9,,2831.7,,2752.9,,2773.5,,,,59010600000.00001,,256264668.0,2009-02-26
2009-02-04,,2803.05,,2842.2,,2780.7,,2780.7,,,,46738000000.0,,204148860.0,2009-02-26
2009-02-05,,2780.05,,2816.8,,2754.85,,2802.75,,,,41691300000.0,,178583516.0,2009-02-26
2009-02-06,,2843.1,,2852.5,,2778.65,,2779.35,,,,40008200000.0,,187961190.0,2009-02-26
2009-02-09,,2919.9,,2926.75,,2840.15,,2843.05,,,,44850400000.0,,186517519.0,2009-02-26
2009-02-10,,2934.5,,2957.4,,2891.75,,2919.7,,,,61226899999.99999,,302564116.0,2009-02-26
2009-02-11,,2925.7,,2937.5,,2877.6,,2933.0,,,,48985800000.0,,243376977.0,2009-02-26
2009-02-12,,2893.05,,2939.0,,2886.55,,2927.4,,,,43468900000.0,,214711779.0,2009-02-26
2009-02-13,,2948.35,,2969.75,,2896.85,,2896.95,,,,46816000000.0,,195741802.0,2009-02-26
2009-02-16,,2848.5,,2953.2,,2839.1,,2948.25,,,,50494100000.0,,246055796.0,2009-02-26
2009-02-17,,2770.5,,2854.65,,2757.3,,2853.85,,,,44959900000.0,,191473117.0,2009-02-26
2009-02-18,,2776.15,,2806.5,,2736.65,,2755.15,,,,49408900000.0,,214170731.0,2009-02-26
2009-02-19,,2789.35,,2802.15,,2767.6,,2776.7,,,,41629600000.0,,174587983.0,2009-02-26
2009-02-20,,2736.45,,2789.3,,2709.3,,2789.3,,,,38821700000.0,,154745737.0,2009-02-26
2009-02-24,,2733.9,,2746.2,,2677.55,,2737.25,,,,44071400000.0,,182727347.0,2009-02-26
2009-02-25,,2762.5,,2789.35,,2733.45,,2733.45,,,,43236700000.0,,176810272.0,2009-02-26
2009-02-26,,2785.65,,2797.8,,2731.9,,2762.2,,,,60464399999.99999,,250274333.0,2009-02-26
2009-01-01,,3033.45,,3039.25,,2963.3,,2963.3,,,,43025400000.0,,226681072.0,2009-03-26
