Date,Open,High,Low,Close,Volume,Turnover,Symbol,Expiry,Last,Settle Price,Number of Contracts,Open Interest,Change in OI,Underlying
2007-06-19,4143.85,4222.4,4136.15,4214.3,56324333.0,31728200000.0,,,,,,,,
2007-06-20,4214.3,4257.0,4214.3,4248.65,66195436.0,36877800000.0,,,,,,,,
2007-06-21,4248.65,4275.35,4220.1,4267.4,71847492.0,39113500000.0,,,,,,,,
2007-06-22,4267.55,4278.85,4242.5,4252.05,66686692.0,35259400000.0,,,,,,,,
2007-06-25,4251.4,4264.25,4236.3,4259.4,76162914.0,34906000000.0,,,,,,,,
2007-06-26,4259.4,4296.15,4250.1,4285.7,79271798.0,32010800000.0,,,,,,,,
2007-06-27,4286.2,4294.2,4255.25,4263.95,77203717.0,33355500000.0,,,,,,,,
2007-06-28,4263.9,4291.4,4256.9,4282.0,117441740.0,51774100000.0,,,,,,,,
2007-06-29,4282.4,4321.35,4280.95,4318.3,72628435.0,44232200000.0,,,,,,,,
2007-07-02,4318.4,4346.75,4305.45,4313.75,64709910.0,34870200000.0,,,,,,,,
2007-07-03,4315.05,4363.35,4313.55,4357.55,60061503.0,34542600000.0,,,,,,,,
2007-07-04,4358.25,4386.45,4342.0,4359.3,62524977.0,35284500000.0,,,,,,,,
2007-07-05,4359.2,4378.55,4311.8,4353.95,64671779.0,37994000000.0,,,,,,,,
2007-07-06,4353.1,4411.0,4304.0,4384.85,84077477.0,47588700000.0,,,,,,,,
2007-07-09,4385.45,4427.55,4385.45,4419.4,60169572.0,35819300000.0,,,,,,,,
2007-07-10,4419.1,4434.45,4393.0,4406.05,73279845.0,40444100000.0,,,,,,,,
2007-07-11,4403.8,4411.45,4344.7,4387.15,78074214.0,42477100000.0,,,,,,,,
2007-07-12,4388.05,4451.95,4387.05,4446.15,94804490.0,46083700000.0,,,,,,,,
2007-07-13,4446.4,4513.9,4446.05,4504.55,126861025.0,62991800000.0,,,,,,,,
2007-07-16,4505.95,4521.85,4495.95,4512.15,102224299.0,46478300000.0,,,,,,,,
2007-07-17,4497.1,4550.25,4488.25,4496.75,99221022.0,47533900000.0,,,,,,,,
2007-07-18,4498.65,4510.8,4452.85,4499.55,78605118.0,39997600000.0,,,,,,,,
2007-07-19,4500.35,4573.0,4496.2,4562.1,84358586.0,50262600000.0,,,,,,,,
2007-07-20,4563.75,4600.8,4553.8,4566.05,90691447.0,54642000000.0,,,,,,,,
2007-07-23,4564.25,4628.45,4547.2,4619.35,78303529.0,46447100000.0,,,,,,,,
2007-07-24,4620.05,4647.95,4609.75,4620.75,82215745.0,49819300000.0,,,,,,,,
2007-07-25,4620.5,4620.5,4555.8,4588.7,108683665.0,54027400000.0,,,,,,,,
2007-07-26,4593.1,4624.3,4570.8,4619.8,129054845.0,72394300000.0,,,,,,,,
2007-07-27,4618.65,4618.9,4424.25,4445.2,137904339.0,80192600000.0,,,,,,,,
2007-07-30,4442.35,4493.05,4403.7,4440.05,95133545.0,50362500000.0,,,,,,,,
2007-07-31,4444.25,4534.2,4432.85,4528.85,84428945.0,53544300000.0,,,,,,,,
2007-08-01,4528.85,4532.9,4339.75,4345.85,104901731.0,62637000000.0,,,,,,,,
2007-08-02,4356.35,4399.75,4327.0,4356.35,71160531.0,42471800000.0,,,,,,,,
2007-08-03,4355.75,4428.1,4355.75,4401.55,63323143.0,35275300000.0,,,,,,,,
2007-08-06,4404.05,4404.05,4267.15,4339.5,64266652.0,39474600000.0,,,,,,,,
2007-08-07,4341.5,4406.4,4341.5,4356.35,62908203.0,39067400000.0,,,,,,,,
2007-08-08,4357.0,4472.15,4356.75,4462.1,68516647.0,45767500000.0,,,,,,,,
2007-08-09,4462.25,4530.05,4390.8,4403.2,79104231.0,46757100000.0,,,,,,,,
2007-08-10,4393.6,4395.5,4239.2,4333.35,83430243.0,49700700000.0,,,,,,,,
2007-08-13,4324.65,4383.8,4324.65,4373.65,49978808.0,28593500000.0,,,,,,,,
2007-08-14,4373.9,4394.3,4354.35,4370.2,43545272.0,22914200000.0,,,,,,,,
