,Date,Open,High,Low,Close,Volume,Turnover,daily_change,2day_change,3day_change
39,2005-03-01,2103.1,2115.1,2073.8,2084.4,71289743,28689200000.0,-18.84999999999991,23.5,29.09999999999991
40,2005-03-02,2084.6,2096.35,2080.55,2093.25,78599088,27082800000.000004,8.849999999999909,-10.0,32.34999999999991
41,2005-03-03,2093.4,2132.75,2093.35,2128.85,84295271,29588700000.0,35.5999999999999,44.44999999999982,25.59999999999991
42,2005-03-04,2129.1,2152.75,2129.1,2148.15,78283092,31878900000.0,19.300000000000182,54.9000000000001,63.75
43,2005-03-07,2148.25,2166.85,2143.05,2160.1,86791264,33250500000.0,11.949999999999818,31.25,66.84999999999991
44,2005-03-08,2160.65,2173.85,2154.0,2168.95,78378567,30736800000.0,8.849999999999909,20.799999999999727,40.0999999999999
45,2005-03-09,2169.1,2183.45,2141.35,2160.8,81074126,29463700000.0,-8.149999999999636,0.7000000000002728,12.650000000000093
46,2005-03-10,2160.85,2170.2,2145.75,2167.4,61889887,25684400000.0,6.599999999999909,-1.5499999999997272,7.300000000000183
47,2005-03-11,2167.7,2182.1,2148.7,2154.0,70474058,26445500000.0,-13.400000000000093,-6.800000000000183,-14.949999999999818
48,2005-03-14,2153.8,2164.15,2140.9,2146.35,73875042,23275500000.0,-7.650000000000091,-21.050000000000182,-14.450000000000275
49,2005-03-15,2146.55,2151.35,2122.0,2128.95,60049989,20536000000.0,-17.40000000000009,-25.050000000000185,-38.45000000000027
50,2005-03-16,2129.35,2158.9,2121.1,2125.55,75512834,22766700000.0,-3.399999999999636,-20.799999999999727,-28.449999999999815
51,2005-03-17,2123.95,2126.55,2090.45,2098.5,62045976,21883500000.0,-27.050000000000185,-30.449999999999815,-47.8499999999999
52,2005-03-18,2097.75,2112.25,2077.2,2109.15,83945077,26666300000.0,10.650000000000091,-16.40000000000009,-19.799999999999727
53,2005-03-21,2117.95,2124.8,2089.35,2096.6,62125033,19557200000.0,-12.550000000000182,-1.900000000000091,-28.950000000000273
54,2005-03-22,2096.75,2099.0,2056.5,2061.6,57631155,21499200000.0,-35.0,-47.55000000000018,-36.9000000000001
55,2005-03-23,2061.2,2067.45,2019.85,2026.4,91449560,33319700000.0,-35.19999999999982,-70.19999999999982,-82.75
56,2005-03-24,2026.6,2042.45,2007.35,2015.4,70928621,28612400000.0,-11.0,-46.19999999999982,-81.1999999999998
57,2005-03-28,2015.75,2046.85,2015.25,2029.45,51850957,20661100000.0,14.049999999999955,3.0499999999999545,-32.149999999999864
58,2005-03-29,2029.4,2032.65,1971.55,1983.85,69687568,24958500000.0,-45.60000000000014,-31.550000000000185,-42.55000000000018
59,2005-03-30,1983.65,2000.45,1971.15,1993.7,69953686,26094500000.0,9.850000000000136,-35.75,-21.70000000000005
60,2005-03-31,1994.5,2043.6,1994.5,2035.65,91752570,36436400000.0,41.950000000000045,51.80000000000018,6.2000000000000455
61,2005-04-01,2035.9,2071.2,2024.25,2067.65,63209440,24574800000.0,32.0,73.95000000000005,83.8000000000002
62,2005-04-04,2067.65,2076.6,2054.9,2063.4,64426298,25725300000.000004,-4.25,27.75,69.70000000000005
63,2005-04-05,2063.2,2077.95,2043.7,2052.55,54691988,21709000000.0,-10.849999999999907,-15.099999999999907,16.90000000000009
64,2005-04-06,2054.0,2073.1,2051.3,2069.3,53943729,20127400000.0,16.75,5.900000000000091,1.650000000000091
65,2005-04-07,2069.15,2084.9,2048.05,2052.85,48150317,19083800000.0,-16.450000000000273,0.29999999999972715,-10.550000000000182
66,2005-04-08,2053.05,2057.5,2024.8,2031.2,42153310,19049400000.0,-21.64999999999986,-38.100000000000136,-21.350000000000136
67,2005-04-11,2032.75,2033.0,2001.85,2008.2,38487508,14392700000.0,-23.0,-44.64999999999985,-61.10000000000014
68,2005-04-12,2002.75,2027.8,2002.75,2024.95,35572259,15236500000.0,16.75,-6.25,-27.89999999999986
69,2005-04-13,2024.9,2038.85,2018.1,2025.45,44910337,18411000000.0,0.5,17.25,-5.75
70,2005-04-15,2022.5,2022.5,1952.75,1956.3,64717231,24027800000.000004,-69.15000000000009,-68.65000000000009,-51.9000000000001
71,2005-04-18,1955.5,1959.25,1914.85,1927.8,70752264,22073400000.0,-28.5,-97.65000000000008,-97.15000000000008
72,2005-04-19,1927.9,1961.15,1902.8,1909.4,61369260,24729400000.0,-18.399999999999864,-46.89999999999986,-116.04999999999997
73,2005-04-20,1908.5,1941.85,1902.9,1929.7,74597233,30023400000.0,20.29999999999995,1.900000000000091,-26.59999999999991
